drug_a,drug_b,interaction_type,severity,mechanism_action,clinical_recommendation
apixaban,aspirin,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
apixaban,clopidogrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
apixaban,ticagrelor,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
apixaban,prasugrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
apixaban,ibuprofen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
apixaban,naproxen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
apixaban,diclofenac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
apixaban,ketorolac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
apixaban,celecoxib,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,aspirin,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,clopidogrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,ticagrelor,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,prasugrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,ibuprofen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,naproxen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,diclofenac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,ketorolac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
rivaroxaban,celecoxib,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,aspirin,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,clopidogrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,ticagrelor,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,prasugrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,ibuprofen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,naproxen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,diclofenac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,ketorolac,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
warfarin,celecoxib,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
dabigatran,aspirin,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
dabigatran,clopidogrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
dabigatran,ticagrelor,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
dabigatran,prasugrel,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
dabigatran,ibuprofen,interacts_with,high,Additive antithrombotic or gastrointestinal bleeding risk.,"Avoid routine combination unless clinician documents indication; monitor bleeding, CBC, renal function, and counsel patient."
